#{"t_start": 1764997027.529922, "env_id": "Ant-v5"}
r,l,t
-33.201497,17,211.459422
-67.32167,37,211.52492
-21.253782,26,211.571608
-18.744978,18,211.603864
-24.42107,19,212.369473
-911.872594,718,214.884463
-142.237317,123,215.698819
-33.860394,18,215.730886
-69.394235,40,216.4579
-83.611747,54,216.556995
-17.018661,11,216.576739
-37.726594,21,216.613938
-18.574594,11,216.633639
4.076017,17,216.663962
-34.11629,23,217.541878
-80.637728,27,217.590337
-11.723368,37,217.656599
-37.993463,43,217.73367
-90.993215,74,218.799531
-8.220937,18,218.833224
-66.099814,43,219.54515
-18.946533,16,219.57366
-21.297184,10,219.59271
-14.987822,26,219.639397
-20.976741,26,219.685563
-16.243165,25,219.73005
-15.33297,9,219.746465
-57.859778,39,220.493021
-105.681923,56,220.591361
-21.657658,25,220.635694
-26.957118,49,221.638935
-25.83585,16,221.670952
-28.858426,14,221.696294
-22.060642,17,221.726767
-27.374993,15,221.753628
19.393888,47,222.60881
-38.365589,33,222.667418
-29.059417,22,222.70683
-50.982002,37,222.774578
-28.058287,27,222.824054
-4.587268,34,223.703589
-15.210168,16,223.732993
-7.040219,11,223.753237
-26.334857,26,223.799986
-43.740613,24,223.843153
-74.096873,54,224.709171
-204.410144,169,225.613217
-23.495936,70,226.382745
-35.278215,18,226.415089
-17.048244,12,226.436644
-1313.021969,1000,230.125156
-39.852276,31,230.180893
-12.06567,7,230.193882
-9.529741,14,230.219067
-26.886405,75,231.066751
-13.383011,13,231.090263
-15.117966,21,231.127954
-34.932981,30,231.181384
-40.554088,56,232.114321
-14.346937,22,232.153551
-24.205724,21,232.19113
-30.143665,21,232.228918
-53.085784,47,232.311987
-28.944489,16,233.15521
-43.843091,43,233.235557
-70.547698,136,234.486841
-42.146666,16,234.515459
-14.728913,13,234.538855
-22.85038,29,234.5904
-16.95263,13,235.62312
-24.608352,16,235.651944
-37.370844,34,235.712636
-52.485341,40,235.783586
-20.740936,21,235.821198
-22.073126,19,236.730708
-43.178341,55,236.828525
-164.874383,155,238.274158
-43.364477,29,238.329595
-35.538623,51,239.336471
-11.005104,15,239.363168
-67.52399,57,239.462649
-12.369845,19,240.428984
-45.188267,52,240.520961
-2.529806,17,240.551246
-51.462556,55,241.697406
-64.204309,80,241.836765
-20.857886,18,241.86859
-36.213482,33,242.631888
-21.533515,15,242.65868
-70.757219,54,242.753598
-87.766214,43,242.829611
-8.639902,13,243.774372
-24.129305,36,243.838362
-64.029579,45,243.91857
-20.53315,18,243.95078
-17.27658,13,243.974141
-17.35766,26,244.975231
-29.245561,15,245.002429
-8.41059,12,245.024304
-19.040279,22,245.063845
-4.833139,15,245.090998
-18.218984,16,245.12005
-16.783249,23,245.161616
-19.041588,14,245.835842
-0.528982,13,245.859692
-90.176775,49,245.947002
-32.455146,23,245.988518
-37.961651,19,246.022822
-36.184393,79,247.005791
-9.418095,17,247.036404
-38.221295,17,247.066648
-27.188951,19,247.100939
12.09537,24,247.854888
-9.013929,13,247.878555
-15.808393,14,247.903964
-20.16669,15,247.93113
-26.656005,18,247.963549
-18.678944,18,247.996215
-44.400088,44,248.826567
-8.512589,14,248.852302
-10.224772,18,248.884629
-27.35486,22,248.924148
-31.910973,24,248.966956
-35.10288,17,248.997939
-21.056412,35,249.78834
-18.642663,39,249.857714
-54.029756,41,249.930584
-55.493332,33,249.989365
-14.89626,31,251.032061
-23.328671,13,251.055883
-114.983336,73,251.18893
-47.671028,45,252.260581
-28.940138,31,252.316674
-12.067258,13,252.340152
-39.243171,52,252.433463
-56.054382,44,253.574695
-50.563367,37,253.640485
-22.185545,14,253.665689
-17.773452,17,253.696166
-54.863942,25,253.740975
-19.42313,19,254.621195
-20.350254,11,254.64107
-7.575704,15,254.668179
-38.938211,69,254.789886
-13.288005,12,254.811481
-5.755929,19,255.838439
-28.076485,27,255.886863
-56.286308,43,255.96333
-14.654487,15,255.990527
-4.682661,21,256.028123
-11.95335,14,256.908762
9.574309,35,256.971015
-118.071141,70,257.09538
9.436402,17,258.173203
-42.004556,21,258.210795
-22.092318,16,258.239823
-1242.819865,1000,261.757221
-86.164138,57,261.858665
-13.579749,18,261.891
-41.87599,25,261.935952
4.59398,16,262.928069
-37.983481,48,263.012866
-21.618749,34,264.510238
-16.384385,10,264.528473
-26.163198,15,264.555287
-11.823919,13,264.578561
-23.374071,25,265.443926
-1208.049738,1000,268.675292
-30.684899,22,269.425934
-24.668853,44,269.503894
-7.955864,11,269.523867
-9.181332,10,269.541928
-17.747568,53,270.679481
-35.903467,20,270.719278
-13.674699,10,270.737875
-70.441242,55,270.83593
-31.715142,14,270.861188
-3.379272,14,270.886292
-40.045169,24,271.775153
-49.287856,36,271.838861
-13.4614,15,271.865991
-44.799705,27,271.913898
-72.801571,46,272.795235
-14.891667,12,272.816787
-33.770777,27,272.864842
-10.471125,20,272.900694
-19.161865,23,272.941477
-25.591905,18,272.973212
-189.803314,84,273.768688
-8.94268,20,273.806093
-7.663639,13,273.829396
-15.251785,13,273.85288
-23.204703,24,274.518291
-19.275037,17,274.548753
-776.129732,617,276.759216
-31.840394,14,276.784582
-41.165896,48,276.86932
-65.514686,62,278.059129
-23.621674,16,278.088179
-18.178227,17,278.118912
-25.685485,33,278.179575
-38.91081,56,278.28987
-77.859004,73,279.246639
-6.274472,12,279.268445
3.294974,29,279.320006
-8.835966,40,280.196092
-37.814813,51,280.289751
-3.10294,14,280.315887
-9.974968,14,280.342144
-35.070539,23,280.383792
14.407058,31,281.204658
-42.19395,25,281.250167
-13.222667,14,281.279524
-45.803157,44,281.358397
-29.542981,27,282.319339
-1232.689985,1000,285.577691
-189.693116,127,286.507363
-32.073284,18,287.018716
-67.071678,51,287.10867
-25.273936,26,287.154936
-74.104167,44,287.232692
-45.729804,27,288.332364
-949.511474,732,290.883321
-32.876288,16,291.461807
-12.871896,12,291.485574
-16.751407,23,291.530514
-43.215852,39,291.605881
-15.73717,19,291.640475
-18.24112,19,291.675013
-7.039268,35,292.49723
-21.146832,28,292.547179
-33.499408,21,292.584713
-10.088972,14,292.610062
-37.065737,14,292.635145
-30.477287,23,292.676174
-67.175319,54,293.398383
-32.442907,32,293.455997
-36.226842,22,293.49578
-49.633945,24,293.53891
-84.326591,45,294.550188
-18.253567,18,294.582456
-7.309654,12,294.604414
-47.04518,41,294.677244
-28.2606,64,295.679862
-35.232631,24,295.722783
-10.338118,18,295.755003
-8.562818,15,295.782031
-37.210823,23,295.823155
-39.159119,38,296.532266
-5.926664,11,296.555811
