#{"t_start": 1765339557.8015175, "env_id": "Ant-v5"}
r,l,t
-8.274027,12,57.185746
-6.171051,24,57.205767
-192.923401,145,57.327208
-39.751356,54,57.372502
-43.73936,41,57.407003
-22.509156,17,57.421433
-37.801788,53,57.466077
-22.573084,17,57.480381
-8.653396,57,57.528647
-33.17226,51,57.571523
-13.732522,29,57.596019
-71.216093,65,57.651097
18.267059,71,57.710616
-35.270501,30,57.736124
-60.751958,53,57.78068
-42.72408,34,57.809184
-59.645607,33,57.836807
-125.251524,104,57.924194
-33.733351,38,57.956305
-1.731037,14,57.968097
-44.151716,20,57.984991
-39.79024,48,58.02529
-27.296697,17,58.039616
-12.817926,50,58.081672
-59.760692,54,58.127036
-21.954999,32,58.153967
-12.531534,10,58.162365
-5.531747,13,58.173297
4.848855,13,58.184311
-2.545649,26,58.206235
-24.39122,58,58.25505
-100.68867,79,58.321251
-36.960278,84,58.647708
-8.520658,13,58.658678
-47.666825,51,58.701434
-19.960874,25,58.722602
-20.934649,79,58.789007
-142.462792,178,58.938039
-863.823481,1000,59.795845
-93.90093,71,59.855625
-21.371579,23,59.874789
5.346447,17,59.889265
-147.662454,102,59.975143
-22.960466,18,59.990519
-6.916309,19,60.006593
-9.916636,14,60.018359
-72.018639,75,60.081372
-51.530646,36,60.111629
-162.388232,113,60.205982
-46.814435,54,60.251691
-29.033625,38,60.283707
16.048656,47,60.323085
-6.641042,14,60.334759
-47.925352,55,60.637031
-4.393243,14,60.648945
-20.776853,19,60.66502
-1.647709,22,60.683452
-23.744282,22,60.701966
-9.399669,12,60.712147
-41.250152,76,60.777272
-23.849823,21,60.794959
-45.667647,46,60.833762
-39.27636,40,60.867045
-19.563346,27,60.889951
-23.854019,21,60.907933
-0.478122,12,60.918098
-830.707769,1000,61.871635
-33.379413,21,61.889485
-26.292991,22,61.908132
-25.042257,50,61.950798
-7.100801,86,62.023802
-859.176527,1000,63.138762
-11.923593,13,63.14999
-3.860515,16,63.163518
-7.416778,16,63.177059
-15.622244,28,63.200432
-51.96936,69,63.258798
-30.239867,60,63.309281
-8.632916,62,63.36162
-30.705789,18,63.376938
-16.205556,26,63.399114
-16.164126,14,63.410954
-50.896144,53,63.455619
-23.044452,12,63.465896
-48.010506,68,63.522933
-26.928301,49,63.564301
-29.687863,22,63.582917
-27.333593,39,63.615687
-23.368001,22,63.634065
-2.253112,10,63.642489
-8.084563,13,63.65355
-9.859797,20,63.670659
-79.023803,60,63.720871
-16.416908,22,63.739213
-10.903791,17,63.753376
-66.561636,81,63.821541
-56.224005,61,63.872606
-11.988344,14,63.884574
-14.48375,37,63.915531
-29.371806,51,63.958461
-7.337153,19,63.974756
-52.631617,35,64.004025
-3.13822,36,64.034245
-0.551652,32,64.061073
-31.510154,91,64.137327
-15.938944,21,64.155058
-44.351799,48,64.195397
-60.083002,45,64.233069
-49.770548,47,64.27253
-28.248744,23,64.291892
-48.963279,48,64.332035
-21.394052,13,64.343069
-63.49723,74,64.405417
-34.140934,41,64.439647
-40.826336,37,64.727186
-14.344864,29,64.751851
-69.254208,34,64.780218
-26.338047,28,64.803907
-33.484327,51,64.846816
-54.749951,48,64.887406
-850.757574,1000,65.744686
-25.255226,24,65.764998
2.080326,13,65.776009
-9.71772,18,65.791142
-15.196015,20,65.807883
-20.062695,35,65.837517
-59.16576,53,65.88191
-30.911377,58,65.930496
-10.651331,13,65.941382
-17.444775,25,65.962373
-144.264725,175,66.109271
-60.95434,98,66.191396
-9.228473,22,66.209992
-43.888178,29,66.234364
-63.713838,79,66.300592
-7.693515,47,66.340047
-24.091257,21,66.357734
-30.715563,26,66.379589
-25.460968,22,66.398014
-54.148492,49,66.439029
-67.272286,73,66.756332
-30.445726,45,66.794367
-27.059652,27,66.817353
-618.034747,781,67.49274
-9.135809,28,67.516406
-2.977548,22,67.534996
-888.859505,1000,68.396215
-14.236657,21,68.414243
-879.6805,1000,69.535062
-18.413472,26,69.557433
-5.322328,14,69.569098
-43.015534,43,69.605486
-19.766915,15,69.61831
-26.617525,65,69.67313
-21.397033,27,69.696112
-33.501613,44,69.733216
-7.27604,80,69.800467
-21.285948,18,69.815859
-62.952889,59,69.865619
-45.473594,76,69.930287
-44.788055,47,69.969932
-11.090784,19,69.985859
-15.186187,33,70.01376
-16.079834,19,70.029727
-80.590605,55,70.075599
-1.003538,41,70.109958
-64.608917,42,70.145566
-69.570578,74,70.207613
-10.697591,42,70.24298
-10.578788,35,70.272648
-31.02147,33,70.300477
-22.896709,55,70.346706
-12.233668,45,70.384802
-18.221002,22,70.403264
-4.909942,44,70.439938
-85.978748,103,70.783803
-863.951236,1000,71.82399
18.330382,17,71.838561
-36.157209,31,71.864573
-12.46292,29,71.889013
-7.537187,14,71.900861
-38.242397,32,71.927869
-15.445296,24,71.948046
-6.68644,9,71.955733
-10.25834,21,71.973666
-41.779631,98,72.055997
-25.306549,14,72.068029
-110.839002,82,72.137232
-14.359992,38,72.169096
-5.991181,18,72.184302
-29.452036,31,72.210454
-872.5058,1000,73.321672
-44.152246,33,73.349792
-31.72562,34,73.378639
26.034898,68,73.436136
