#{"t_start": 1764883055.9193907, "env_id": "Ant-v5"}
r,l,t
-67.887935,81,61.32845
-35.178958,46,61.37903
-43.070373,16,61.396782
-62.954653,97,61.502805
-72.833811,49,61.558713
-54.645766,38,61.597789
-64.78556,54,61.658435
-11.17803,17,61.67543
-14.136507,14,61.692847
-19.526896,22,61.720409
-64.539977,54,61.776216
-33.741791,22,61.801172
-68.449121,49,61.85746
-9.744581,8,61.864471
-21.456963,33,61.899887
-20.096669,20,61.924575
-136.659076,121,62.057556
-53.916023,41,62.100736
-17.649916,19,62.123189
-71.0384,71,62.198787
-6.655581,23,62.225631
-27.826978,24,62.252687
-8.772004,25,62.27975
-43.415214,55,62.338066
-13.134086,13,62.355414
-13.576955,14,62.367737
-16.387384,17,62.723729
-87.359121,61,62.791541
-22.668404,32,62.825905
-76.582608,87,62.921762
-29.532374,15,62.935384
-32.657671,58,63.000552
-39.914913,83,63.095425
7.057619,56,63.158669
-26.266336,22,63.18411
-25.68519,37,63.223552
-881.349761,1000,64.332867
-38.125329,30,64.366042
-6.972445,42,64.415962
-48.192218,62,64.4841
-186.667221,146,64.649094
-3.200153,24,64.675244
-8.479448,23,64.699844
-120.799298,72,64.784324
-16.278918,16,64.799205
-16.909073,20,64.823116
-63.283196,54,64.883518
-52.470827,31,64.917635
-0.424555,18,64.934004
-55.219077,60,65.334384
-20.264035,26,65.362119
-19.837453,32,65.397039
-23.580636,24,65.424582
-5.716839,17,65.443426
-24.457118,54,65.499224
-28.459303,41,65.545592
-4.825733,17,65.56337
-49.425354,54,65.623521
-1.482747,59,65.687998
-18.350626,15,65.704369
-22.026551,28,65.734123
-28.147367,37,65.777962
5.982943,23,65.80268
-13.839445,49,65.856536
-77.656282,84,65.951182
-15.948422,21,65.974163
-99.915719,71,66.052902
-39.716816,49,66.108431
-0.696379,37,66.150563
-44.081239,30,66.183666
-27.191704,33,66.220075
-26.157159,29,66.252413
-38.540663,32,66.287292
-40.620958,47,66.33947
-2.869573,31,66.375391
-23.223108,21,66.403215
-19.40849,23,66.429433
-10.848575,59,66.499792
-85.4048,80,66.595021
-18.0308,60,66.668635
-19.122844,45,66.725517
-19.965215,27,66.759263
-32.941805,66,66.844102
-2.153891,38,66.891125
-52.678534,38,66.936212
-4.114268,29,66.973843
-32.570665,42,67.027408
-24.594511,18,67.051126
-8.247313,25,67.079078
-73.657498,46,67.139359
-9.990762,7,67.148601
-7.266994,12,67.161371
-75.649795,68,67.242907
-47.589259,43,67.295625
-8.385553,17,67.317473
-108.941989,162,67.507831
0.34132,33,67.544789
-24.430384,24,67.573594
-71.552015,49,67.631083
14.437851,28,67.664135
-26.241093,35,67.698364
-91.497374,127,68.362052
7.490227,15,68.375663
-44.056287,27,68.399428
-918.959387,1000,69.394109
-11.482472,31,69.42331
-68.121699,50,69.476478
-73.126382,66,69.538348
-24.461023,14,69.550338
-53.461127,31,69.578931
-965.603662,1000,70.833832
-25.556686,18,70.8515
-30.097474,17,70.868758
-0.638022,32,70.898656
-22.906447,15,70.912088
-27.484954,28,70.940681
-21.845513,15,70.955091
-41.170448,52,71.003025
-53.725685,44,71.046268
-52.37949,51,71.094594
-20.284948,20,71.112636
-4.277617,11,71.122773
-3.924642,12,71.133487
-19.417052,27,71.158274
-125.527062,135,71.281737
-138.73541,119,74.315176
-98.120487,99,74.412197
-118.871149,69,74.493254
-20.623773,37,74.533592
-14.101422,16,74.549749
