#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
-2.664175,14,335.104046
-1.748732,31,335.14987
-0.721366,15,335.172358
3.075049,15,335.194943
7.410484,17,335.222208
-6.944615,15,335.244721
4.451498,15,335.267142
61.209194,141,335.478916
33.966515,54,335.570801
658.976966,1000,337.159207
389.123033,538,338.001235
728.495074,1000,341.974262
719.157452,1000,343.550296
170.74252,191,343.838662
667.29205,1000,345.393086
811.134453,1000,346.989129
776.226617,1000,348.567064
256.332103,576,349.459618
29.288096,27,349.499404
523.134813,1000,351.088936
853.013916,965,352.603404
837.488855,1000,354.197106
686.28627,1000,355.780637
627.08993,1000,361.423764
600.450176,1000,362.996098
806.156518,1000,364.645017
839.73049,1000,366.271153
915.219878,1000,367.962779
931.605125,1000,369.672498
916.491434,1000,371.279361
883.27165,1000,372.998013
962.157045,1000,374.623845
973.071526,1000,376.210505
867.045674,1000,381.797423
808.304067,1000,383.398461
818.487092,1000,385.084536
789.395131,1000,386.672924
820.018333,1000,388.987763
788.510564,1000,390.634945
771.553818,1000,392.220088
79.853227,160,392.468392
940.056613,1000,394.07901
819.338265,1000,395.64801
659.847948,1000,397.311818
751.030413,1000,402.843344
469.570967,569,403.828109
802.774977,1000,405.425737
797.69093,1000,407.058313
773.841313,1000,408.923533
795.473288,1000,410.537091
816.578593,1000,412.29692
750.939463,878,413.762369
843.151966,1000,415.405835
869.175117,1000,417.257453
905.705569,1000,419.105191
935.167641,1000,425.642383
903.240686,1000,428.064979
915.018216,1000,429.66564
610.405518,1000,431.30113
912.067012,1000,433.057386
897.191387,1000,434.699963
872.745001,1000,436.282009
377.786166,431,436.965545
1069.925529,1000,438.546515
899.126757,1000,440.121302
769.84123,1000,445.667374
777.694953,1000,447.246182
231.339639,236,447.644753
15.350192,17,447.669176
244.612438,265,448.079107
488.815291,684,449.158205
366.917717,512,449.94031
643.853056,1000,451.559188
66.65167,97,451.71546
62.209046,66,451.815616
36.014654,56,451.90187
138.982829,174,452.174426
72.213046,107,452.344996
65.467697,73,452.459125
